Group,File,Total_Value,Total_Weight,Num_Items,is_Optimal
00Uncorrelated,n00050,20995,14721,29,True
00Uncorrelated,n00100,465424,225212,68,True
00Uncorrelated,n00200,84317,50302,129,True
00Uncorrelated,n00500,2078639,1185802,314,True
00Uncorrelated,n01000,400811,252480,615,True
00Uncorrelated,n02000,8084297,5023024,1229,True
00Uncorrelated,n05000,2041002,1231707,3121,True
00Uncorrelated,n10000,40500261,24765111,6224,True
01WeaklyCorrelated,n00050,15768,14232,26,True
01WeaklyCorrelated,n00100,310315,289895,50,True
01WeaklyCorrelated,n00200,56976,51563,106,True
01WeaklyCorrelated,n00500,1390993,1271685,256,True
01WeaklyCorrelated,n01000,273052,245972,520,True
01WeaklyCorrelated,n02000,5518106,4980107,1038,True
01WeaklyCorrelated,n05000,1378225,1249257,2589,True
01WeaklyCorrelated,n10000,27397375,24787545,5162,True
02StronglyCorrelated,n00050,17539,14239,33,True
02StronglyCorrelated,n00100,355961,289961,66,True
02StronglyCorrelated,n00200,65363,51563,138,False
02StronglyCorrelated,n00500,1620358,1271358,349,False
02StronglyCorrelated,n01000,316368,245968,704,False
02StronglyCorrelated,n02000,6379911,4974911,1405,False
02StronglyCorrelated,n05000,1599288,1248688,3506,False
02StronglyCorrelated,n10000,31804306,24781306,7023,False
03InverseStronglyCorrelated,n00050,14914,16714,18,False
03InverseStronglyCorrelated,n00100,304466,339466,35,True
03InverseStronglyCorrelated,n00200,54964,61464,65,True
03InverseStronglyCorrelated,n00500,1356100,1515100,159,False
03InverseStronglyCorrelated,n01000,263434,294834,314,False
03InverseStronglyCorrelated,n02000,5337264,5968264,631,False
03InverseStronglyCorrelated,n05000,1338091,1496591,1585,False
03InverseStronglyCorrelated,n10000,26571681,29733681,3162,False
04AlmostStronglyCorrelated,n00050,17556,14238,33,True
04AlmostStronglyCorrelated,n00100,355902,289960,66,True
04AlmostStronglyCorrelated,n00200,65380,51563,138,False
04AlmostStronglyCorrelated,n00500,1620434,1271679,349,False
04AlmostStronglyCorrelated,n01000,316415,245972,704,True
04AlmostStronglyCorrelated,n02000,6380394,4974835,1405,False
04AlmostStronglyCorrelated,n05000,1599762,1249043,3506,False
04AlmostStronglyCorrelated,n10000,31809437,24785151,7023,False
05SubsetSum,n00050,14239,14239,24,True
05SubsetSum,n00100,289961,289961,49,True
05SubsetSum,n00200,51563,51563,88,True
05SubsetSum,n00500,1271685,1271685,244,True
05SubsetSum,n01000,245972,245972,477,True
05SubsetSum,n02000,4980108,4980108,1002,True
05SubsetSum,n05000,1249257,1249257,2485,True
05SubsetSum,n10000,24787545,24787545,4912,True
06UncorrelatedWithSimilarWeights,n00050,19676,2401482,24,True
06UncorrelatedWithSimilarWeights,n00100,39791,4902253,49,False
06UncorrelatedWithSimilarWeights,n00200,75678,9904900,99,True
06UncorrelatedWithSimilarWeights,n00500,189769,24712055,247,False
06UncorrelatedWithSimilarWeights,n01000,371246,49525319,495,True
06UncorrelatedWithSimilarWeights,n02000,748457,99050305,990,False
06UncorrelatedWithSimilarWeights,n05000,1872056,247621933,2475,False
06UncorrelatedWithSimilarWeights,n10000,3724841,495247236,4950,False
07SpannerUncorrelated,n00050,13472,4569,29,True
07SpannerUncorrelated,n00100,243893,88483,56,False
07SpannerUncorrelated,n00200,47836,17274,115,False
07SpannerUncorrelated,n00500,1155011,433675,294,False
07SpannerUncorrelated,n01000,228624,84656,598,False
07SpannerUncorrelated,n02000,4631744,1699321,1192,False
07SpannerUncorrelated,n05000,1131684,413019,2965,False
07SpannerUncorrelated,n10000,23010195,8445345,5867,False
08SpannerWeaklyCorrelated,n00050,10354,11452,25,False
08SpannerWeaklyCorrelated,n00100,203856,210158,48,True
08SpannerWeaklyCorrelated,n00200,40575,41116,97,False
08SpannerWeaklyCorrelated,n00500,981336,1011673,239,False
08SpannerWeaklyCorrelated,n01000,196050,198664,462,False
08SpannerWeaklyCorrelated,n02000,3895584,4016012,930,False
08SpannerWeaklyCorrelated,n05000,964500,977360,2335,False
08SpannerWeaklyCorrelated,n10000,19355598,19954194,4741,False
09SpannerStronglyCorrelated,n00050,28432,11532,25,False
09SpannerStronglyCorrelated,n00100,518835,211835,52,True
09SpannerStronglyCorrelated,n00200,101888,41288,101,False
09SpannerStronglyCorrelated,n00500,2460672,1010672,258,False
09SpannerStronglyCorrelated,n01000,488672,198772,527,False
09SpannerStronglyCorrelated,n02000,9824844,4016844,1047,False
09SpannerStronglyCorrelated,n05000,2409352,977252,2607,False
09SpannerStronglyCorrelated,n10000,48801855,19952855,5164,False
10MultipleStronglyCorrelated,n00050,21338,14238,33,True
10MultipleStronglyCorrelated,n00100,434921,289921,65,True
10MultipleStronglyCorrelated,n00200,81658,51558,136,False
10MultipleStronglyCorrelated,n00500,2034682,1271682,345,False
10MultipleStronglyCorrelated,n01000,399170,245970,693,False
10MultipleStronglyCorrelated,n02000,8060100,4980100,1385,True
10MultipleStronglyCorrelated,n05000,2019608,1249108,3449,False
10MultipleStronglyCorrelated,n10000,40193381,24787381,6917,False
11ProfitCeiling,n00050,14229,14238,24,False
11ProfitCeiling,n00100,289947,289959,46,False
11ProfitCeiling,n00200,51540,51562,84,False
11ProfitCeiling,n00500,1271616,1271685,214,False
11ProfitCeiling,n01000,245877,245972,412,False
11ProfitCeiling,n02000,4979889,4980106,859,False
11ProfitCeiling,n05000,1248798,1249255,2122,False
11ProfitCeiling,n10000,24786621,24787545,4239,False
12Circle,n00050,300031,14239,24,True
12Circle,n00100,19329757,289961,40,False
12Circle,n00200,1086483,51563,79,False
12Circle,n00500,84774716,1271685,186,False
12Circle,n01000,5182856,245972,366,True
12Circle,n02000,331990407,4980108,745,False
12Circle,n05000,26323007,1249257,1844,False
12Circle,n10000,1652419440,24787545,3710,False
